"Device: BTH-1208LS"
"Serial Number: 1CA5AEE"
"Channel Count: 2"
"Sample Count: 16674"
"Start Time: 03/08/2018 3:31:58.246 PM"
"Scan Rate: 500"
"Sample","Date/Time","Position (V)","Température (V)"
"278","03/08/2018 3:31:58.802 PM","3.290598586900160","-0.004151344823185"
"279","03/08/2018 3:31:58.804 PM","3.307692604605110","-0.006104946893174"
"280","03/08/2018 3:31:58.806 PM","3.283272579312320","-0.004151344823185"
"281","03/08/2018 3:31:58.808 PM","3.251526546431710","-0.006104946893174"
"282","03/08/2018 3:31:58.810 PM","3.217338511021810","-0.005616546375677"
"283","03/08/2018 3:31:58.812 PM","3.188034480670470","-0.005616546375677"
"284","03/08/2018 3:31:58.814 PM","3.241758536314590","-0.005128145858180"
"285","03/08/2018 3:31:58.816 PM","3.310134607134390","-0.005128145858180"
"286","03/08/2018 3:31:58.818 PM","3.293040589429440","-0.005128145858180"
"287","03/08/2018 3:31:58.820 PM","3.261294556548820","-0.004639745340683"
"288","03/08/2018 3:31:58.822 PM","3.207570500904690","-0.004151344823185"
"289","03/08/2018 3:31:58.824 PM","3.207570500904690","-0.005616546375677"
"290","03/08/2018 3:31:58.826 PM","3.315018612192940","-0.005616546375677"
"291","03/08/2018 3:31:58.828 PM","3.302808599546550","-0.005128145858180"
"292","03/08/2018 3:31:58.830 PM","3.283272579312320","-0.004639745340683"
"293","03/08/2018 3:31:58.832 PM","3.239316533785310","-0.005128145858180"
"294","03/08/2018 3:31:58.834 PM","3.192918485729020","-0.004151344823185"
"295","03/08/2018 3:31:58.836 PM","3.229548523668200","-0.006104946893174"
"296","03/08/2018 3:31:58.838 PM","3.315018612192940","-0.004639745340683"
"297","03/08/2018 3:31:58.840 PM","3.305250602075830","-0.004639745340683"
"298","03/08/2018 3:31:58.842 PM","3.280830576783050","-0.006593347410671"
"299","03/08/2018 3:31:58.844 PM","3.246642541373150","-0.004151344823185"
"300","03/08/2018 3:31:58.846 PM","3.202686495846140","-0.004639745340683"
"301","03/08/2018 3:31:58.848 PM","3.239316533785310","-0.005616546375677"
"302","03/08/2018 3:31:58.850 PM","3.322344619780780","-0.005616546375677"
"303","03/08/2018 3:31:58.852 PM","3.295482591958720","-0.005128145858180"
"304","03/08/2018 3:31:58.854 PM","3.266178561607380","-0.004151344823185"
"305","03/08/2018 3:31:58.856 PM","3.239316533785310","-0.005128145858180"
"306","03/08/2018 3:31:58.858 PM","3.200244493316860","-0.004639745340683"
"307","03/08/2018 3:31:58.860 PM","3.234432528726760","-0.005128145858180"
"308","03/08/2018 3:31:58.862 PM","3.324786622310060","-0.004639745340683"
"309","03/08/2018 3:31:58.864 PM","3.295482591958720","-0.004639745340683"
"310","03/08/2018 3:31:58.866 PM","3.266178561607380","-0.005128145858180"
"311","03/08/2018 3:31:58.868 PM","3.229548523668200","-0.006593347410671"
"312","03/08/2018 3:31:58.870 PM","3.200244493316860","-0.005616546375677"
"313","03/08/2018 3:31:58.872 PM","3.166056457906960","-0.006593347410671"
"314","03/08/2018 3:31:58.874 PM","3.302808599546550","-0.006593347410671"
"315","03/08/2018 3:31:58.876 PM","3.305250602075830","-0.005616546375677"
"316","03/08/2018 3:31:58.878 PM","3.283272579312320","-0.004151344823185"
"317","03/08/2018 3:31:58.880 PM","3.246642541373150","-0.005128145858180"
"318","03/08/2018 3:31:58.882 PM","3.192918485729020","-0.005128145858180"
"319","03/08/2018 3:31:58.884 PM","3.173382465494800","-0.005616546375677"
"320","03/08/2018 3:31:58.886 PM","3.297924594487990","-0.005128145858180"
"321","03/08/2018 3:31:58.888 PM","3.302808599546550","-0.003662944305688"
"322","03/08/2018 3:31:58.890 PM","3.285714581841600","-0.005616546375677"
"323","03/08/2018 3:31:58.892 PM","3.249084543902430","-0.003662944305688"
"324","03/08/2018 3:31:58.894 PM","3.219780513551090","-0.006593347410671"
"325","03/08/2018 3:31:58.896 PM","3.173382465494800","-0.004639745340683"
"326","03/08/2018 3:31:58.898 PM","3.256410551490260","-0.005128145858180"
"327","03/08/2018 3:31:58.900 PM","3.305250602075830","-0.003662944305688"
"328","03/08/2018 3:31:58.902 PM","3.283272579312320","-0.005128145858180"
"329","03/08/2018 3:31:58.904 PM","3.241758536314590","-0.006104946893174"
"330","03/08/2018 3:31:58.906 PM","3.210012503433970","-0.005128145858180"
